,avg.spectrum of stars w/exoplanets,avg.spectrum of stars w/o exoplanets,frequency
0,0.05197192199771486,0.0747289560648508,0.0
1,0.02709821330917112,0.03432926079102961,0.000462962962962963
2,0.02316897498895184,0.02962388970271075,0.000925925925925926
3,0.02362375656027936,0.026737097755579923,0.001388888888888889
4,0.021256040083181327,0.025364941847005135,0.001851851851851852
5,0.01903214148512363,0.024075213400178968,0.0023148148148148147
6,0.018660555706632182,0.024508234337590997,0.002777777777777778
7,0.016370038170670002,0.023574440059838535,0.003240740740740741
8,0.01588733607301872,0.023693711753727066,0.003703703703703704
9,0.013755640030322707,0.02368199015308866,0.004166666666666667
10,0.01624724264950402,0.023616719673005458,0.004629629629629629
11,0.0163414356216084,0.022853345541312818,0.005092592592592593
12,0.014378052462424037,0.02274952698937082,0.005555555555555556
13,0.01455587083354733,0.02287325293083045,0.0060185185185185185
14,0.015799965453352348,0.023225034939883083,0.006481481481481482
15,0.01665640297290158,0.02299863074151651,0.006944444444444445
16,0.01771168817924034,0.023048716993612203,0.007407407407407408
17,0.01501168345140225,0.022068736253154954,0.007870370370370371
18,0.01816787412975878,0.022019694735258135,0.008333333333333333
19,0.01711229070382299,0.022032710773355065,0.008796296296296297
20,0.016686480834140583,0.022873957614497478,0.009259259259259259
21,0.019378543607390993,0.023072229495380236,0.009722222222222222
22,0.01951062996579845,0.02291227910866058,0.010185185185185186
23,0.01819573454868616,0.022788020099519957,0.010648148148148148
24,0.018626041968167716,0.02233954440510738,0.011111111111111112
25,0.016413479346084697,0.023430783068325474,0.011574074074074075
26,0.016060141482690707,0.02342783966969713,0.012037037037037037
27,0.019159146629845514,0.023746269665064143,0.0125
28,0.020526970124464344,0.023694609849659858,0.012962962962962964
29,0.02040506651445726,0.024773674435666984,0.013425925925925926
30,0.018628724057507488,0.024523389026441092,0.01388888888888889
31,0.01864343228952259,0.02526468846383717,0.014351851851851852
32,0.022160809040722224,0.025867512265258474,0.014814814814814815
33,0.021638122482009213,0.024294980746327185,0.015277777777777779
34,0.0222519373545604,0.02497656798024176,0.015740740740740743
35,0.03345249386306593,0.028953465055524152,0.016203703703703703
36,0.022377785198664995,0.028644740905447753,0.016666666666666666
37,0.020821411944620657,0.028133674246527185,0.01712962962962963
38,0.0215329013249031,0.025861322955798665,0.017592592592592594
39,0.021613214718968737,0.024618359143583575,0.018055555555555557
40,0.02413517110519512,0.02444861224790995,0.018518518518518517
41,0.02010577585699368,0.02480579164578766,0.01898148148148148
42,0.021983375748337964,0.02516814995730529,0.019444444444444445
43,0.03378401681168447,0.025313735718968257,0.01990740740740741
44,0.029838331069724604,0.025195447310250172,0.020370370370370372
45,0.024099771419584127,0.027431699643063995,0.020833333333333336
46,0.02468653822311409,0.026609559338696458,0.021296296296296296
47,0.026533837529823405,0.02572932698196307,0.02175925925925926
48,0.032519720990703674,0.02654287293367714,0.022222222222222223
49,0.028581015214386885,0.025937409184751153,0.022685185185185187
50,0.02445243760617624,0.02827267441643138,0.02314814814814815
51,0.026774595856232975,0.028274859368604573,0.02361111111111111
52,0.031541677592447366,0.03051736950983762,0.024074074074074074
53,0.03446962248821535,0.030159444672885786,0.024537037037037038
54,0.033012097538798614,0.030741264437543204,0.025
55,0.029427144582587376,0.03301128408409096,0.025462962962962965
56,0.03221459466353872,0.032179580162833774,0.02592592592592593
57,0.028479904031344667,0.03179471051791404,0.02638888888888889
58,0.025896772430655322,0.02937249553184771,0.026851851851851852
59,0.032909734578839785,0.029102373734848638,0.027314814814814816
60,0.028658725855161646,0.02726264951150593,0.02777777777777778
61,0.031220547454325634,0.03094370596957797,0.028240740740740743
62,0.04492814983177977,0.030638636992053256,0.028703703703703703
63,0.04150043164847024,0.0310649733634065,0.029166666666666667
64,0.0438653359266507,0.030976405933435626,0.02962962962962963
65,0.03392513247322293,0.03386703698702405,0.030092592592592594
66,0.042988985630762,0.0344992907793688,0.030555555555555558
67,0.043490251855751,0.03831925721176247,0.031018518518518518
68,0.05048563793082843,0.04160348378686427,0.031481481481481485
69,0.04711431785658658,0.03717043946255332,0.03194444444444445
70,0.045543295500925535,0.04038899652596872,0.032407407407407406
71,0.03851050788845085,0.038619297173424154,0.03287037037037037
72,0.04393481877755617,0.03876589533671267,0.03333333333333333
73,0.03787040336412334,0.03857457609167426,0.033796296296296297
74,0.039106969706686125,0.03732185265905932,0.03425925925925926
75,0.038372834273151045,0.03357644218965901,0.034722222222222224
76,0.03651601241837646,0.03351261319312373,0.03518518518518519
77,0.04235870817327145,0.033251140401563364,0.03564814814814815
78,0.05549708986650318,0.033764716282069014,0.036111111111111115
79,0.05969811529225348,0.03273103210563914,0.03657407407407408
80,0.04197448313835776,0.033304021348012344,0.037037037037037035
81,0.044154118719627294,0.03692564233220958,0.0375
82,0.03752137974949243,0.03859112792128901,0.03796296296296296
83,0.03734673052455638,0.03740490708735402,0.038425925925925926
84,0.033411682252865955,0.03579147217395814,0.03888888888888889
85,0.0369166478087611,0.03964231936145079,0.03935185185185185
86,0.04495437847559627,0.038518998108108875,0.03981481481481482
87,0.037302266749921834,0.037160706282742095,0.04027777777777778
88,0.04143741821645042,0.03655218586383265,0.040740740740740744
89,0.039596802291395526,0.035372737861539716,0.04120370370370371
90,0.04089612960834478,0.03696425048233265,0.04166666666666667
91,0.05565122770941088,0.03445401987351388,0.04212962962962963
92,0.043401767515568804,0.03378583965849735,0.04259259259259259
93,0.0518051042476399,0.03799401176735467,0.043055555555555555
94,0.05631995518409957,0.04062189721220992,0.04351851851851852
95,0.052472146703248804,0.040032848846302926,0.04398148148148148
96,0.04969965496969342,0.04137931601812667,0.044444444444444446
97,0.046401187759289246,0.04343113985143106,0.04490740740740741
98,0.049055894227115024,0.045371706208112574,0.04537037037037037
99,0.0435364433442481,0.04672105221547055,0.04583333333333334
100,0.0548394893212711,0.046744910836947366,0.0462962962962963
101,0.048836529380080894,0.04797643669529754,0.046759259259259264
102,0.05272374036576522,0.046280847099143006,0.04722222222222222
103,0.04511313813407827,0.04627467379080373,0.047685185185185185
104,0.0532042089711676,0.046280205972899106,0.04814814814814815
